Danceability,Energy,Speechiness,Liveness,Tempo,Duration,Stream
0.637,0.678,0.266,0.156,84.039,250760,908006704
0.908,0.669,0.0738,0.237,112.238,290320,1457351902
0.949,0.661,0.0572,0.0454,104.504,284200,1232567233
0.802,0.755,0.0564,0.295,130.027,350320,466021760
0.548,0.847,0.186,0.0816,171.447,297787,1548871694
0.78,0.768,0.238,0.518,80.063,404107,799979337
0.749,0.925,0.227,0.52,86.989,263373,1115478746
0.808,0.745,0.342,0.292,165.995,210800,1072650382
0.668,0.824,0.137,0.0426,163.961,339547,357737050
0.855,0.954,0.264,0.205,114.635,248133,789922926
0.647,0.822,0.183,0.0908,160.019,232720,1143833476
0.851,0.819,0.212,0.0658,83.154,164041,42006396
0.893,0.745,0.0571,0.0943,101.018,223413,981287133
0.877,0.56,0.0596,0.0839,119.971,216136,104603335
0.81,0.733,0.0444,0.288,125.975,229283,99934776
0.679,0.516,0.0452,0.0965,120.074,202008,198332490
0.859,0.563,0.112,0.0685,119.934,258789,219355874
0.827,0.571,0.366,0.166,142.034,146419,99577335
0.89,0.46,0.0359,0.11,112.555,176078,105629259
0.894,0.404,0.13,0.0801,102.009,236507,114177468
0.351,0.296,0.0333,0.095,115.284,200186,2110573779
0.912,0.774,0.0455,0.101,119.966,155589,203066841
0.52,0.761,0.0853,0.17,141.971,180823,1322057199
0.799,0.539,0.0421,0.165,136.948,202547,1290687019
0.632,0.686,0.243,0.2,89.949,170770,1424962511
0.596,0.552,0.097,0.104,97.949,229320,1143264716
0.736,0.449,0.425,0.0898,80.126,219080,1221083395
0.83,0.585,0.0366,0.0576,105.03,228600,586480399
0.64,0.647,0.186,0.0801,92.979,197867,1241240312
0.708,0.648,0.0449,0.134,143.955,201707,843423744
0.778,0.632,0.0493,0.0915,122.104,218289,196761853
0.873,0.695,0.0459,0.211,131.963,158805,220692224
0.695,0.636,0.317,0.081,174.14,172235,473003231
0.778,0.824,0.0707,0.405,100.024,218093,1164605089
0.758,0.871,0.147,0.0663,126.994,202627,629918488
0.831,0.868,0.0325,0.184,131.971,194438,162685755
0.687,0.361,0.0792,0.11,165.747,173133,138360843
0.852,0.773,0.0776,0.159,102.034,195840,859799057
0.595,0.461,0.0641,0.123,91.976,192867,220084336
0.839,0.403,0.0308,0.0786,97.967,254240,229134152
0.731,0.675,0.0434,0.141,124.939,139461,574531280
0.628,0.744,0.0379,0.313,119.921,169397,426759364
0.601,0.92,0.0505,0.0998,88.014,170134,90825980
0.653,0.718,0.213,0.0537,82.034,202805,382579404
0.654,0.875,0.0744,0.194,99.975,171621,254290993
0.533,0.858,0.0766,0.148,160.057,205159,280845476
0.697,0.691,0.146,0.185,137.853,239293,615784555
0.665,0.678,0.0315,0.474,131.986,122570,67878913
0.721,0.632,0.0358,0.291,92.057,144860,212221697
0.742,0.617,0.0345,0.0711,147.002,124188,62736773
0.594,0.749,0.056,0.3,179.968,172854,865695837
0.628,0.69,0.0511,0.113,179.908,205907,765561212
0.635,0.713,0.0937,0.0506,179.864,204701,418186764
0.627,0.849,0.153,0.145,89.907,158087,185931694
0.681,0.648,0.38,0.104,172.02,286507,350576786
0.855,0.912,0.145,0.122,104.072,157023,136025763
0.76,0.803,0.0306,0.0555,136.945,223074,37382738
0.832,0.608,0.0385,0.0761,94.013,198707,479847676
0.591,0.785,0.161,0.126,106.002,217547,89466323
0.827,0.788,0.0831,0.0764,109.933,170005,126333112
0.557,0.54,0.0347,0.179,129.171,185733,942898131
0.443,0.403,0.0322,0.111,143.462,243027,526788025
0.533,0.376,0.0393,0.0926,165.007,259947,574936342
0.332,0.179,0.0326,0.0886,96.529,125667,475131674
0.482,0.849,0.0452,0.0414,124.631,155227,341963190
0.686,0.127,0.0342,0.0573,93.699,138387,326733164
0.688,0.435,0.0323,0.113,103.239,146333,266426563
0.386,0.607,0.0261,0.088,147.207,425653,486111943
0.49,0.715,0.0476,0.311,130.726,145747,334903879
0.396,0.338,0.0304,0.138,133.522,182293,233382117
0.671,0.939,0.161,0.298,129.024,252307,777641580
0.581,0.963,0.0981,0.139,129.992,204160,1120973873
0.721,0.802,0.0583,0.694,124.022,229360,981156901
0.673,0.758,0.158,0.341,135.956,229507,481224452
0.67,0.855,0.0499,0.335,120.05,227280,347393726
0.761,0.933,0.056,0.0607,122.959,236200,424022714
0.592,0.935,0.0581,0.132,125.013,222520,222056078
0.85,0.631,0.227,0.0679,126.002,237600,374912951
0.595,0.912,0.0884,0.259,128.024,234453,193172998
0.898,0.677,0.243,0.35,130.027,154493,52166142
0.742,0.882,0.117,0.206,102.04,221176,851711837
0.951,0.6,0.0685,0.0712,125.04,218573,590578908
0.801,0.764,0.0986,0.247,89.999,154151,122450231
0.741,0.824,0.0352,0.158,100.216,211666,381155556
0.718,0.776,0.0693,0.207,120.015,227787,266413452
0.855,0.674,0.314,0.0548,95.991,242253,49412471
0.711,0.761,0.225,0.041,95.824,243880,51339097
0.765,0.666,0.172,0.116,87.002,273360,176824685
0.812,0.712,0.0452,0.108,98.029,148944,47517159
0.828,0.588,0.118,0.124,94.052,224681,336056798
0.396,0.293,0.0275,0.105,100.307,182360,642724292
0.465,0.27,0.0425,0.145,94.518,129173,293604060
0.575,0.236,0.0422,0.105,79.576,115827,115786722
0.487,0.382,0.0309,0.411,116.557,261280,355940570
0.66,0.748,0.0284,0.283,143.549,170293,217996516
0.358,0.387,0.0324,0.119,181.183,218440,126445901
0.325,0.715,0.0368,0.0987,93.914,191840,19601041
0.623,0.537,0.0726,0.0963,166.885,146933,362889100
0.481,0.733,0.165,0.108,122.903,140427,107417556
0.916,0.844,0.236,0.0778,95.19,312627,375955728
0.801,0.91,0.225,0.0737,87.277,278387,578493150
0.763,0.85,0.0417,0.371,91.519,284907,497213287
0.872,0.723,0.247,0.327,93.279,307773,428728611
0.874,0.63,0.298,0.0582,95,281600,213745248
0.865,0.665,0.073,0.224,111.113,268827,411056377
0.773,0.54,0.103,0.131,84.115,280000,243928109
0.598,0.732,0.425,0.508,172.329,262507,211103197
0.849,0.904,0.138,0.0545,99.258,246533,178709066
0.795,0.852,0.178,0.39,95.44,330760,117899041
0.762,0.861,0.0955,0.264,120.048,172714,172373567
0.553,0.652,0.206,0.111,94.505,207347,1138123751
0.888,0.632,0.219,0.101,91.979,266067,466458137
0.723,0.732,0.0864,0.484,104.991,199747,248359900
0.718,0.768,0.25,0.0957,164.038,213745,46192225
0.813,0.732,0.03,0.0826,130.02,195987,222949118
0.907,0.695,0.135,0.0808,101.007,298307,202521145
0.861,0.48,0.0512,0.351,99.972,178840,82111629
0.755,0.531,0.196,0.13,177.951,203360,124225906
0.669,0.634,0.0327,0.0946,124.906,255053,433564491
0.502,0.786,0.317,0.65,169.021,243491,1004661276
0.328,0.622,0.0866,0.104,74.267,228093,417139141
0.457,0.906,0.342,0.182,104.02,357707,461843097
0.364,0.752,0.304,0.318,79.119,248587,404959319
0.832,0.43,0.0826,0.124,148.074,299333,387665450
0.663,0.688,0.283,0.223,151.589,221813,432215037
0.443,0.623,0.0718,0.247,79.365,233000,205327632
0.742,0.617,0.0345,0.0711,147.002,124188,62736773
0.376,0.841,0.356,0.578,76.052,271947,238468772
0.716,0.512,0.0331,0.0928,104.957,165907,644668215
0.468,0.779,0.0779,0.101,173.799,217747,731776557
0.399,0.787,0.0499,0.0685,117.089,216120,1404231856
0.259,0.437,0.0386,0.106,180.042,239000,1378235205
0.628,0.698,0.105,0.0907,89.976,211667,1538447140
0.603,0.615,0.165,0.117,158.657,213707,411692294
0.421,0.791,0.0496,0.146,130.075,257200,733035056
0.678,0.744,0.234,0.0631,101.987,162353,34819346
0.759,0.636,0.0369,0.166,109.976,214507,300286185
0.547,0.814,0.12,0.0475,92.986,205267,191151662
0.828,0.492,0.0276,0.128,120.151,257800,1145814659
0.545,0.67,0.0496,0.0451,151.553,270213,800258505
0.73,0.487,0.0303,0.0852,114.965,226653,615384523
0.583,0.947,0.0378,0.0679,135.448,223613,732367244
0.414,0.161,0.0318,0.117,159.375,199493,512338633
0.671,0.71,0.0356,0.0387,118.745,193347,252302426
0.64,0.649,0.0264,0.0551,124.825,221053,298619427
0.723,0.49,0.0296,0.0923,129.012,252773,302893047
0.622,0.54,0.0261,0.265,130.879,264907,213673856
0.654,0.336,0.0379,0.0786,176.083,134400,189357854
0.543,0.87,0.0428,0.792,100.804,230400,877774503
0.749,0.491,0.0403,0.159,119.528,292613,519184335
0.749,0.748,0.0323,0.469,137.547,213267,375576936
0.719,0.922,0.0338,0.0867,133.113,260893,135342126
0.454,0.788,0.0371,0.0859,126.15,294720,295039369
0.684,0.675,0.0257,0.242,107.064,243933,250065301
0.678,0.727,0.0258,0.354,133.481,274467,252601051
0.445,0.949,0.0471,0.0902,147.604,168960,222521002
0.5,0.554,0.0354,0.312,84.229,326320,210743145
0.764,0.626,0.0288,0.201,118.34,252853,208513838
0.652,0.259,0.0595,0.362,142.169,155453,471405587
0.262,0.137,0.0344,0.267,92.183,206600,126469786
0.512,0.339,0.0498,0.0977,174.609,120693,177473609
0.401,0.381,0.0274,0.122,75.454,276800,329370178
0.257,0.338,0.0357,0.252,207.356,162493,182673374
0.646,0.204,0.0565,0.312,140.281,154640,88041370
0.668,0.26,0.0523,0.0621,119.416,147000,506872698
0.259,0.473,0.0295,0.201,90.348,157867,143712745
0.56,0.434,0.0729,0.346,112.803,187040,212972149
0.252,0.118,0.0328,0.117,87.575,146293,42053170
0.696,0.793,0.097,0.18,120.003,172253,107996524
0.754,0.763,0.0435,0.0901,117.953,164819,547871739
0.77,0.787,0.0583,0.262,119.986,140500,481307838
0.534,0.855,0.183,0.346,122.06,153443,18374300
0.798,0.62,0.232,0.112,120.031,164000,980693352
0.748,0.841,0.177,0.0413,123.045,129817,117679131
0.66,0.942,0.185,0.834,126.017,158571,27908495
0.79,0.764,0.0737,0.132,123.046,185366,38610617
0.652,0.855,0.0775,0.341,127.964,146250,32419330
0.747,0.833,0.045,0.0586,128.008,215760,782756255
0.795,0.8,0.0309,0.0915,116.032,202735,1357658479
